,PositionTitle,MinimumRange,MaximumRange,PositionURI
21,Supervisory Clinical Psychologist,151676.0,197181.0,https://www.usajobs.gov:443/GetJob/ViewDetails/826390900
22,Clinical Psychologist,103409.0,134435.0,https://www.usajobs.gov:443/GetJob/ViewDetails/818853600
23,Clinical Psychologist,88813.0,164563.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828494300
24,Clinical Psychologist,88813.0,164563.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828496000
25,SCIENTIST,61933.0,153354.0,https://www.usajobs.gov:443/GetJob/ViewDetails/814824900
26,ENGINEER/SCIENTIST,86962.0,134435.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828077300
27,IT Program Manager (APPSW-INFOSEC)),167603.0,195200.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828707400
28,Cyber Security Researcher,72965.0,128956.0,https://www.usajobs.gov:443/GetJob/ViewDetails/759314600
29,Computer Engineer,129690.0,168597.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828366800
30,Computer Engineer,129690.0,168597.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829254200
31,Quantum Computing Scientist,68405.0,181216.0,https://www.usajobs.gov:443/GetJob/ViewDetails/757827500
32,INTERDISCIPLINARY ENGINEER/SCIENTIST,99200.0,153354.0,https://www.usajobs.gov:443/GetJob/ViewDetails/819468000
33,INTERDISCIPLINARY ENGINEER/SCIENTIST,101121.0,156323.0,https://www.usajobs.gov:443/GetJob/ViewDetails/780801200
34,INTERDISCIPLINARY ENGINEER/SCIENTIST,101121.0,156323.0,https://www.usajobs.gov:443/GetJob/ViewDetails/788216400
35,IT Specialist (APPSW),99069.0,128795.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828522300
36,IT Specialist (APPSW),100371.0,130488.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829184200
37,INTERDISCIPLINARY ENGINEER/SCIENTIST,103316.0,159716.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828599400
38,Software Developer (Sr. Software Developer),105896.0,181216.0,https://www.usajobs.gov:443/GetJob/ViewDetails/825773300
39,Software Developer,74299.0,137669.0,https://www.usajobs.gov:443/GetJob/ViewDetails/825773200
40,DST Data Engineer,72030.0,170800.0,https://www.usajobs.gov:443/GetJob/ViewDetails/757695300
41,ENGINEER/SCIENTIST,73572.0,136323.0,https://www.usajobs.gov:443/GetJob/ViewDetails/793433300
42,IT SPECIALIST (APPSW),92573.0,156755.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827736100
43,HR INFORMATION SYSTEMS SPECIALIST (CYBERSECURITY),61680.0,80182.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828809400
44,IT Specialist (INFOSEC),109749.0,168597.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829009300
45,Applications Programmer,60266.0,128992.0,https://www.usajobs.gov:443/GetJob/ViewDetails/822675900
46,IT Specialist (APPSW),107517.0,139774.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828947200
47,Supervisory IT Cybersecurity Specialist (APPSW),167020.0,195200.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827126000
48,IT SPECIALIST (APPSW),73286.0,95270.0,https://www.usajobs.gov:443/GetJob/ViewDetails/743218800
49,Supervisory Information Technology Specialist,167617.0,207500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829007100
50,IT Specialist (Systems Administration),74532.0,96887.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829240000
51,IT SPECIALIST (NETWORK SERVICES/SYSTEMS ADMINISTRATION),88621.0,115213.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827118800
52,IT SPECIALIST (SYSTEMS ADMINISTRATION) T5,77343.0,100541.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827931100
53,Medical Support Assistant,49533.0,64389.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827621700
54,Supervisory Federal Air Marshal (Lateral),142488.0,185234.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829102300
